岩場,區域,路線ID,路線名稱,路線英文名,難度,找到數量,建議影片（標題 | URL）,選擇的YouTube影片,選擇的Instagram貼文
關子嶺,毒刺林,GZ-DOUCILIN-004,浴火鳳凰,The Phoenix Out of Fire,5.13a,3,"關子嶺攀岩＿浴火鳳凰5.13a | https://www.youtube.com/watch?v=zYEKgVJjEN8
關子嶺攀岩場「浴火鳳凰」5.13a | https://www.youtube.com/watch?v=KRsEu4eLwRw
浴火鳳凰 5.13a 關仔嶺岩場 | https://www.youtube.com/watch?v=BBk6PKpOw7k",,
關子嶺,毒刺林,GZ-DOUCILIN-005,小蜜蜂,The Little Bee,5.12c,1,關子嶺攀岩場「小蜜蜂」5.12c | https://www.youtube.com/watch?v=kcKVCwoMPbQ,,
關子嶺,毒刺林,GZ-DOUCILIN-006,天堂之路,The Pathway to Paradise,5.12c,3,"00「天堂之路」5.12c | https://www.youtube.com/watch?v=GTxRS7njpXk
關子嶺攀岩場「天堂之路」 | https://www.youtube.com/watch?v=HF3d6azDCY0
關子嶺毒刺林 天堂之路(未完攀) CLIMBER志豪(吸塵器) | https://www.youtube.com/watch?v=nERl7zjes9g",,
關子嶺,毒刺林,GZ-DOUCILIN-007,方塊酥,The Square Cookie,5.12d,2,"方塊酥5.12d_秋玫 | https://www.youtube.com/watch?v=7I6lbxY0_as
Square Cookie 方塊酥 5.12d, 毒刺林 | https://www.youtube.com/watch?v=OSQfKrwp5u8",,
關子嶺,毒刺林,GZ-DOUCILIN-008,天花板橫渡,One Hand Clip,5.12b,0,,,
關子嶺,毒刺林,GZ-DOUCILIN-009,白無常,The White Ghost,5.10c,1,佳臻「白無常」(正面) | https://www.youtube.com/watch?v=K83RX0IT7Ys,,
關子嶺,毒刺林,GZ-DOUCILIN-010,黑無常,The Black Ghost,5.10d,1,關子嶺攀岩場「黑無常」5.10d | https://www.youtube.com/watch?v=fs_Tnn4OUBg,,
關子嶺,飛來石,GZ-FLYING-001,天天見面,Meeting Daily,5.10a,0,,,
關子嶺,飛來石,GZ-FLYING-002,右手,The Right Hand,5.11a,0,,,
關子嶺,飛來石,GZ-FLYING-003,左手,The Left Hand,5.10b,0,,,
